date,cityGatePrice,residentialPrice,residentialFromCO,commercialPrice,commercialFromCO,industrialPrice,industrialFromCO,electricPowerConsumersPrice
01/15/2001 12:00:00 AM,6.89,7.03,,6.94,90.8,9.36,0,
11/15/2013 12:00:00 AM,4.83,7.78,100,7.29,95.2,5.61,8.5,
12/15/2003 12:00:00 AM,4.67,7.31,100,6.79,95.1,9.22,0.1,5.08
05/15/2015 12:00:00 AM,4.22,9.25,100,7.63,92.8,5.32,8.6,
05/15/1999 12:00:00 AM,2.36,5.27,,4.46,98.2,,,
07/15/2011 12:00:00 AM,6.21,13.71,100,9.59,95.3,7.30,5.2,4.86
10/15/2004 12:00:00 AM,4.1,8.57,100,7.29,96.3,7.29,0.3,5.05
08/15/2015 12:00:00 AM,5.59,13.68,100,9.33,91.1,6.65,4.4,
12/15/2013 12:00:00 AM,4.75,6.93,100,6.79,95.6,5.78,8.1,
09/15/2011 12:00:00 AM,6.49,12.46,100,9.41,93.9,8.61,5.7,5.30
06/15/1996 12:00:00 AM,2.4,5.18,,3.79,92.5,,,
12/15/2010 12:00:00 AM,4.69,7.34,100,7.14,95.1,5.72,6.3,5.22
01/15/2007 12:00:00 AM,6.18,8.07,100,7.96,96.1,10.39,0.1,5.33
01/15/2013 12:00:00 AM,4.02,6.79,100,6.60,96,5.09,9.3,
03/15/2009 12:00:00 AM,5.2,9.00,100,6.80,94,5.00,0.4,3.73
04/15/2004 12:00:00 AM,5.16,8.27,100,7.14,93.1,6.62,1.1,4.67
10/15/2005 12:00:00 AM,6.95,12.31,100,11.07,96.8,8.40,0.4,10.31
10/15/2003 12:00:00 AM,3.62,8.67,100,7.35,93.2,6.28,0.9,4.52
04/15/1990 12:00:00 AM,2.88,4.41,,3.94,97.6,,,
01/15/1994 12:00:00 AM,3.43,4.58,,4.27,95.9,,,
10/15/1997 12:00:00 AM,2.71,5.96,,4.72,86.9,,,
05/15/2014 12:00:00 AM,5.78,10.23,100,8.72,93.1,7.22,6.9,
04/15/2016 12:00:00 AM,2.78,6.84,100,5.96,93.7,4.36,7.2,
08/15/1994 12:00:00 AM,3.47,6.68,,4.72,91.7,,,
01/15/2005 12:00:00 AM,5.69,8.78,100,8.36,95.7,7.53,0.8,
04/15/2009 12:00:00 AM,4.63,7.80,100,6.65,94.6,4.43,0.8,3.67
04/15/1994 12:00:00 AM,3.76,4.81,,4.34,94.9,,,
02/15/1999 12:00:00 AM,2.07,4.88,,4.39,96.7,,,
03/15/2010 12:00:00 AM,5.53,7.85,100,8.03,94.5,6.50,6,5.06
02/15/2001 12:00:00 AM,4.97,8.54,,8.23,98.8,10.07,0.1,
05/15/2011 12:00:00 AM,5.42,8.92,100,7.81,93,5.96,6.5,5.16
06/15/2002 12:00:00 AM,3.65,9.42,100,5.97,95.9,4.66,1.7,2.11
04/15/2007 12:00:00 AM,5.86,8.53,100,7.91,93.4,9.60,0.2,4.88
06/15/1994 12:00:00 AM,3.82,5.88,,4.57,94.3,,,
05/15/1997 12:00:00 AM,2.42,4.91,,4.08,93.7,,,
11/15/2004 12:00:00 AM,6.22,8.89,100,8.30,95.2,8.08,0.2,6.80
06/15/2005 12:00:00 AM,3.54,11.84,100,8.47,95.3,8.73,0.4,
05/15/2017 12:00:00 AM,3.98,9.17,100,7.28,92.5,5.66,6,
04/15/2005 12:00:00 AM,6.53,9.22,100,8.38,93.5,7.91,0.7,
06/15/1999 12:00:00 AM,2.44,6.30,,4.67,97.7,,,
10/15/1989 12:00:00 AM,2.94,5.27,,4.19,95.6,,,
06/15/1992 12:00:00 AM,3.23,5.25,,4.23,96,,,
02/15/2010 12:00:00 AM,5.65,7.95,100,8.10,95.5,6.75,5.3,6.07
04/15/1998 12:00:00 AM,2.64,4.82,,4.35,95.8,,,
12/15/2016 12:00:00 AM,3.61,6.46,100,6.18,95.7,4.75,9.4,
08/15/2000 12:00:00 AM,3.56,9.22,,6.08,99.3,,,
09/15/2016 12:00:00 AM,5.27,12.07,100,8.42,90.9,6.12,5.2,
02/15/1989 12:00:00 AM,2.85,4.30,,3.95,98.1,,,
03/15/2002 12:00:00 AM,3.15,5.66,100,5.32,96.5,5.79,1.4,2.92
01/15/2002 12:00:00 AM,2.95,5.53,100,5.15,89.4,6.99,0.1,2.86
09/15/2015 12:00:00 AM,5.6,13.17,100,9.17,91,6.22,5.7,
02/15/2005 12:00:00 AM,5.75,8.68,100,8.22,94.6,7.58,0.8,
07/15/1997 12:00:00 AM,2.67,6.91,,4.45,86.2,,,
09/15/1996 12:00:00 AM,2.49,6.38,,3.93,90.6,,,
12/15/2017 12:00:00 AM,3.44,6.84,100,6.62,95.7,5.04,8.7,
09/15/1998 12:00:00 AM,0.63,8.50,,4.59,93.2,,,
06/15/2000 12:00:00 AM,3.71,6.92,,5.14,95.8,,,
02/15/2013 12:00:00 AM,4.09,7.05,100,6.84,95,5.36,10,
